vegetation_diff,grass_diff,area,condition_class,exposed_soil,dist_water,composite_score
kmeans clusters
0.80,0.79,0.34,0.47,0.41,0.32,0.85
-0.57,-0.57,-0.24,-0.34,-0.30,-0.23,-0.61
Components
-0.51,-0.51,-0.14,-0.40,-0.35,-0.08,-0.43
-0.05,-0.04,0.43,-0.29,-0.42,0.57,0.48
Average data by composite score
-1.39,-1.37,-0.42,-1.85,-0.97,-0.77,-2.18
-0.34,-0.38,-0.32,-0.15,-0.05,-0.41,-0.71
0.46,0.52,0.18,0.16,0.05,0.53,0.76
0.81,0.80,1.47,0.82,0.37,0.84,2.23
0.11,0.00,1.00,1.22,2.33,1.67,1.00
1.43,1.24,1.08,2.89,3.51,2.09,2.00
2.43,2.35,1.48,3.20,3.64,3.19,3.00
2.88,2.70,2.50,3.85,4.05,3.55,4.00
